company_name,number_of_investments,number_of_exits,location,investor_type,description,company_url,domain,Unnamed: 8,facebook,instagram,linkedin,twitter,Unnamed: 13,contact_email,phone_number,industries,program,country,Unnamed: 19
Fulcrum Investing,13.0,,"Chicago, Illinois, United States","Family Investment Office, Micro VC",Fulcrum Investing is a family office dedicated to the advancement and assistance of start-up companies and the entrepreneurial community.,https://www.fulcruminvesting.com/,fulcruminvesting.com,,,,https://www.linkedin.com/company/fulcrum-investing/,,,info@fulcruminvesting.com,,,,United States,
Ekistic Ventures,13.0,1.0,"Chicago, Illinois, United States","Micro VC, Venture Capital",Ekistic Ventures is a group of urban problem-solvers investing our expertise and capital to make cities more efficient and equitable.,https://www.ekistic.com/,ekistic.com,,,,https://www.linkedin.com/company/ekistic-ventures/about/,,,brett@ekistic.com,,,,United States,
Network Ventures,13.0,2.0,"Chicago, Illinois, United States",Micro VC,Network Ventures is a Chicago-based company that provides venture capital to seed stage companies.,http://www.networkventures.vc/,networkventures.vc,,,,https://www.linkedin.com/company/network-ventures,,,info@networkventures.vc,,,,United States,
Tally Capital,13.0,1.0,"Chicago, Illinois, United States","Hedge Fund, Venture Capital",Blockchain technology represents one of the greatest generational opportunities for entrepreneurs and investors.,https://tallycapital.com/,tallycapital.com,,,,https://www.linkedin.com/company/7956119/,,,hello@tallycapital.com,,"Bitcoin, Cryptocurrency, Ethereum, Open Source, Venture Capital",,United States,
Lincoln Park Capital Fund,12.0,9.0,"Chicago, Illinois, United States",Venture Capital,Lincoln Park Capital Fund is a Chicago-based asset management firm focused on opportunistic investing in public and private companies.,https://www.lpcfunds.com/,lincolnparkcapital.com,,,,,,,jcope@lpcfunds.com,(312) 822-9300,,,United States,
Equator Capital Partners,12.0,1.0,"Chicago, Illinois, United States",Private Equity Firm,Equator Capital Partners is a fund management company that invests in private sector financial enterprises.,http://www.equatorcap.net,equatorcap.net,,,,https://www.linkedin.com/company/equator-capital-partners/,,,admin@equatorcap.net,312.637.9430,,,United States,
Synetro Group,12.0,2.0,"Chicago, Illinois, United States",Venture Capital,Synetro Group is a private investment and strategic advisory firm focused primarily on b-to-b software and business services companies.,http://www.synetro.com/,synetro.com,,,,http://www.linkedin.com/company/861844,,,info@synetrogroup.com,,"Finance, Financial Services, Venture Capital",,United States,
CIVC Partners,11.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,Chicago-based private equity firm with 50 years of experience.,http://www.civc.com/,civc.com,,,,https://www.linkedin.com/company/civc-partners,,,partners@civc.com,3128737300,"Finance, Financial Services, Venture Capital",,United States,
EMERGE Accelerator (A TechNexus Venture),11.0,,"Chicago, Illinois, United States",Accelerator,"Connectors of enterprises, first responders, and cities with startups building tomorrow's technology to increase productivity and safety.",http://emerge.technexus.com,emerge.technexus.com,,,,,,,collaborate@technexus.com,(312) 435-1000,"Public Safety, Wearables",,United States,
Prism Capital Corporation,11.0,6.0,"Chicago, Illinois, United States",Private Equity Firm,"Prism Capital is a private equity firm specializing in growth finance, recapitalizations, and buyouts.",https://www.prismfund.com/,prismfund.com,,,,https://www.linkedin.com/company/prism-capital,,,info@prismfund.com,,"Health Care, Information Technology, Manufacturing",,United States,
Bluestein & Associates,10.0,,"Chicago, Illinois, United States",Family Investment Office,"Bluestein & Associates is a family office based in Chicago, right in the heart of the Midwest. It was formed in 2009 and redirected in 2014.",http://www.bluesteinassociates.com/,bluesteinassociates.com,,,,,,,info@bluesteinassociates.com,312.724.8788,,,United States,
Beecken Petty O'Keefe & Company,10.0,4.0,"Chicago, Illinois, United States",Private Equity Firm,Beecken Petty O'Keefe & Company is a private equity management firm that specializes exclusively in healthcare.,https://www.bpoc.com/,bpoc.com,,,,https://www.linkedin.com/company/beecken-petty-o'keefe/,,,partners@bpoc.com,(312) 435-0300,"Angel Investment, Finance, Health Care",,United States,
Frontenac Company,10.0,7.0,"Chicago, Illinois, United States",Private Equity Firm,Frontenac Company is a Chicago-based private investment firm founded in 1971. We are currently investing from our tenth equity fund. We,https://www.frontenac.com/home.html,frontenac.com,,,,https://www.linkedin.com/company/frontenac-company,,,kporter@frontenac.com,,"Food and Beverage, Industrial, Venture Capital",,United States,
Driehaus Capital Management,10.0,6.0,"Chicago, Illinois, United States",Private Equity Firm,Driehaus is an investment management firm that manages growth equity investment strategies and multi-asset alternative strategies.,https://www.driehaus.com/,driehaus.com,,,,https://www.linkedin.com/company/driehaus-capital-management,https://twitter.com/DriehausCapital?ref_src=twsrc%5Etfw,,sales@driehaus.com,(312) 587-3800,,,United States,
Mosaix Ventures,10.0,7.0,"Chicago, Illinois, United States",Private Equity Firm,Mosaix Ventures is an investment partnership focused on supporting innovative companies with exceptional potential.,http://www.mosaixventures.com,mosaixventures.com,,,,https://www.linkedin.com/company/mosaic-ventures,,,rlal@mosaixventures.com,,"Finance, Financial Services, Venture Capital",,United States,
Germin8 Ventures,9.0,,"Chicago, Illinois, United States","Micro VC, Venture Capital",Germin8 Ventures is a leading venture capital firm actively investing with domain expertise and strategic backing in FoodTech & AgTech.,http://www.germin8ventures.com,germin8ventures.com,,,,https://www.linkedin.com/company/germin8-ventures,,,hello@germin8ventures.com,,"Impact Investing, Sustainability, Venture Capital",,United States,
Veritas Investment GmbH,2.0,1.0,"Frankfurt, Hessen, Germany",Venture Capital,"Veritas Investment GmbH is a venture capital firm located in Frankfurt, Germany.",http://www.veritas-investment.de/,veritas-investment.de,,,,https://www.linkedin.com/company/veritas-investment-gmbh,,,info@veritas-investment.de,,,,Germany,
Nils Regge,2.0,,"Hamburg, Germany, Europe",Individual/Angel,"Nils is a serial entrepreneur and company builder with a long-standing passion for health and biomedicine. At Apollo, Nils brings deal makin...",,,,,,https://www.linkedin.com/in/nils-regge-62ab7a28/,,,nils@apollo.vc,,,,Germany,
Uwe Horstmann,2.0,,"Berlin, Berlin, Germany","Investment Partner, Individual/Angel","Uwe co-founded investment firm Project A Ventures ($100Mn+ fund) in 2012, where he focuses on product management, internationalization and d...",,,,,,https://www.linkedin.com/in/uwehorstmann/,,,uwe.horstmann@project-a.com,,,,Germany,
IVC Venture Capital,2.0,,"Bad Homburg, Hessen, Germany",Venture Capital,IVC Venture Capital offers early stage and expansion capital for high-growth technology companies.,http://www.ivc-venture-capital.com,ivc-venture-capital.com,,,,,,,contact@ivc-venture-capital.com,,,,Germany,
Bastian Nominacher,2.0,,"Munich, Bayern, Germany",Individual/Angel,"Co-Founder and Co-CEO Responsible for EMEA & APAC, global operations, finance, HR and the overall direction for Celonis.",,,,,,https://www.linkedin.com/in/bastian-nominacher-82ba94b8/,,,b.nominacher@celonis.com,,,,Germany,
DIVEdigital,2.0,,"Munich, Bayern, Germany",Venture Capital,DIVEdigital is a small investment boutique which concentrates on Israeli high tech Start-Ups.,https://www.divedigital.de,divedigital.de,,,,https://www.linkedin.com/company/divedigital-gmbh,,,contact@divedigital.de,+49(0)89 89069100,"Artificial Intelligence, Machine Learning, Manufacturing, Predictive Analytics, Robotics, Sensor",,Germany,
Marcus Mosen,2.0,,"Cologne, Nordrhein-Westfalen, Germany","Investment Partner, Individual/Angel",Marcus Mosen,,,,,,http://linkedin.com/in/marcus-w-mosen-295887,,,marcus@mwmosen.com,,,,Germany,
Acton Capital,99.0,31.0,"Munich, Bayern, Germany",Venture Capital,"Acton Capital is a leading growth venture capital investor in tech-enabled business models, headquartered in Munich, Germany.",http://www.actoncapital.com,actoncapital.com,,,,http://www.linkedin.com/company/acton-capital-partners,https://twitter.com/ActonCapital,,info@actoncapital.com,+49 89 24218870,"Artificial Intelligence, E-Commerce, E-Commerce Platforms, E-Learning, FinTech, Health Care, Marketplace, SaaS, Venture Capital",,Germany,
Voltage Ventures,2.0,,"Berlin, Berlin, Germany",Venture Capital,Voltage Ventures is a venture capital firm in Berlin with extensive expertise in building global B2B and B2C technology companies.,http://voltage.vc/,voltage.vc,,,,,,,info@voltage.vc,,"Finance, Financial Services, FinTech",,Germany,
White Owl Capital,2.0,,"Berlin, Berlin, Germany","Micro VC, Venture Capital",White Owl Capital is an international investment and specialised fund and asset management group with longstanding capabilities in the,http://www.whiteowl.de,whiteowl.de,,,,,,,kontakt@whiteowl.de,,,,Germany,
eCAPITAL ENTREPRENEURIAL PARTNERS,86.0,16.0,"M√Љnster, Nordrhein-Westfalen, Germany","Micro VC, Venture Capital",eCAPITAL is a venture capital firm that provides early to growth stage funding to technology companies.,https://ecapital.vc/,ecapital.vc,,,,https://www.linkedin.com/company/ecapital-entrepreneurial-partners-ag/,,,info@ecapital.de,+49 (0)251 703767-0,"Business Development, Financial Services, Venture Capital",,Germany,
BayBG,76.0,8.0,"Munich, Bayern, Germany",Venture Capital,"BayBG is an equity investor in Munich, GER. BayBG invests in Bavarian SME as well as startups using both equity and mezzanine capital.",https://www.baybg.de/,baybg.de,,,,https://www.linkedin.com/company/baybg/about/,,,info@baybg.de,089 122280-100,"Finance, Financial Services, Manufacturing, Venture Capital",,Germany,
MIG,66.0,9.0,"Munich, Bayern, Germany",Venture Capital,"MIG is a leading German VC investor, focussed on early to mid-stage technology and life science companies.",http://www.mig.ag/en/,mig.ag,,,,,,,info@mig.ag,,"Finance, Financial Services, Venture Capital",,Germany,
SevenVentures,41.0,13.0,"Unterf√ґhring, Bayern, Germany",Corporate Venture Capital,SevenVentures focuses on a flexible investment approach including cash investments for minority interests and media partnerships.,https://www.sevenventures.de/,sevenventures.de,,https://www.facebook.com/SevenVenturesPitchDay/?ref=aymt_homepage_panel,,https://www.linkedin.com/company/10262962,https://twitter.com/SevenVentures,,info@sevenventures.de,+49 (0) 89/95 07 - 8699,"News, Publishing, Venture Capital",,Germany,
Momeni Digital Ventures,2.0,,"Hamburg, Hamburg, Germany",Venture Capital,Momeni Digital Ventures is an PropTech investment firm.,https://momeni-group.com/en/,momeni-group.com,,,,https://www.linkedin.com/company/42433495,,,digitalventures@momeni-group.com,,,,Germany,
CVM Capital,2.0,1.0,"Dortmund, Nordrhein-Westfalen, Germany",Venture Capital,CVM Capital is a management consultancy which has focused its activities to the requirements of small and medium-sized enterprises.,https://www.cvm-gmbh.de/,cvm-gmbh.de,,,,,,,info@cvm-gmbh.de,,,,Germany,
SIB Innovations- und Beteiligungsgesellschaft,2.0,1.0,"Dresden, Sachsen, Germany","Private Equity Firm, Venture Capital",SIB is a investment company that provides its clients with equity financing solutions and services.,http://www.sib-dresden.de,sib-dresden.de,,,,https://www.linkedin.com/company/sib-innovations--und-beteiligungsgesellschaft-mbh/,,,info@sib-dresden.de,4935184742810,"Information Technology, Manufacturing, Software, Venture Capital",,Germany,
MAS Angel Fund,2.0,1.0,"Berlin, Berlin, Germany",Angel Group,MAS Angel Fund is an angel investment group specialized in early stage investments.,http://angelfund.vc,angelfund.vc,,http://facebook.com/makeastartup,,https://www.linkedin.com/company/angelfund-vc/about/,https://twitter.com/makeastartup,,we@angelfund.vc,491739751021,"Angel Investment, Finance, Venture Capital",,Germany,
DigitalRain,2.0,,"Berlin, Berlin, Germany",Angel Group,"Digital Rain identifies ambitious and talented online companies in search of capital, business connections, and expert guidance.",https://digitalrain.de/,digitalrain.de,,,,,,,info@digitalrain.de,,,,Germany,
Eran Davidson,2.0,1.0,"Berlin, Berlin, Germany","Investment Partner, Individual/Angel","Eran Davidson founded Davidson Technology Growth Debt fund in 2014. Eran has 20 years of venture capital experience, raised and managed 6 fu...",,,,,,https://www.linkedin.com/in/eran-davidson-65b21187/,,,eran@davidson-capital.com,,,,Germany,
Engelhardt Kaupp Kiefer,2.0,,"Stuttgart, Baden-Wurttemberg, Germany",Angel Group,"Engelhardt Kaupp Kiefer is a private equity firm based in Stuttgart, Germany.",http://www.ekkub.de/,ekkub.de,,,,,,,info@ekkub.de,4970312040580,"Finance, Financial Services, Information Technology",,Germany,
Ryan Hood,2.0,,"Cologne, Nordrhein-Westfalen, Germany",Individual/Angel,Ryan Hood - CEO @ hood.de,,,,,,,,,ryan@ryanhood.com,,,,Germany,
Andrea Anderheggen,2.0,,"Butzbach, Hessen, Germany",Individual/Angel,"Andrea, born in 1977, is CEO and founder of Shopgate. Before fully joining his Shopgate team in 2011 Andrea has been a co-founder and COO of...",,,,,,https://www.linkedin.com/in/andreaanderheggen,,,andrea@salesgrowth.io,,,,Germany,
HMW Innovations AG,2.0,,"Pullach Im Isartal, Bayern, Germany",Venture Capital,HMW Innovations AG is a German investment company focused on the medical technology and biotechnology markets.,http://www.alfred-wieder.ag,alfred-wieder.ag,,,,,,,info@hmw.ag,,,,Germany,
Felix Heberle,2.0,1.0,"Munich, Bayern, Germany",Individual/Angel,"Felix is an entrepreneur and networker at heart. Since founding his first two start-ups while studying at university, Felix has worked at le...",,,,,,http://de.linkedin.com/in/felixheberle,,,heberle_felix@germanamericanconference.org,,,,Germany,
Senovo,39.0,2.0,"Munich, Bayern, Germany",Venture Capital,Senovo focuses on early stage B2B SaaS investments.,https://senovo.vc/,senovo.vc,,,,https://www.linkedin.com/company/senovo-gmbh,https://twitter.com/markusgrundmann,,info@senovo.vc,+49 89 41 61 76 250,"Finance, Financial Services, SaaS, Venture Capital",,Germany,
Enjoyventure Management,39.0,2.0,"Düsseldorf, Nordrhein-Westfalen, Germany","Entrepreneurship Program, Private Equity Firm, Venture Capital",The EnjoyVenture Management is a private equity company that focuses its investments on the seed and early-stage companies.,http://enjoyventure.vc/,enjoyventure.vc,,https://https://www.facebook.com/EnjoyVenture-111695418889711fa,,https://www.linkedin.com/company/enjoyventure-management-gmbh/,https://twitter.com/enjoyventure_vc,,office@enjoyventure.de,+49 211 239 551 - 70,"Finance, Financial Services, Venture Capital",,Germany,
DvH Ventures,32.0,3.0,"Köln, Nordrhein-Westfalen, Germany",Venture Capital,DvH Ventures is a early-stage investors in Germany.,http://dvhventures.de/,dvhventures.de,,,,https://www.linkedin.com/company/dieter-von-holtzbrinck-ventures-gmbh/,,,deals@dvhventures.de,492219331610,"Digital Media, FinTech, Venture Capital",,Germany,
United Prototype,2.0,1.0,"Cologne, Nordrhein-Westfalen, Germany",Venture Capital,United Prototype is an website creator and content developer for large businesses.,https://unitedprototype.com/,unitedprototype.com,,,,,,,info@unitedprototype.com,4922116539445,"Gaming, Incubators, Information Services, Information Technology, Social",,Germany,
SHS Gesellschaft fur Beteiligungsmanagement,31.0,1.0,"T√Љbingen, Baden-Wurttemberg, Germany",Venture Capital,SHS is an independent private equity company focus on investments in the MedTech and Life Sciences sectors.,https://www.shs-capital.eu/,shs-capital.eu,,,,http://www.linkedin.com/company/shs-gesellschaft-fuer-beteiligungsmanagement-mbh,,,tuebingen@shs-capital.eu,49707191690,"Analytics, Finance, Financial Services, Venture Capital",,Germany,
Global Life Science Ventures,30.0,13.0,"Munich, Bayern, Germany",Venture Capital,Global Life Science Ventures is a swiss investment fund focusing exclusively on the life sciences sector.,http://www.global-life-science-ventures.com/,global-life-science-ventures.com,,,,,,,mailbox@glsv-vc.com,,"Financial Services, Life Science, Venture Capital",,Germany,
Verena Pausder,2.0,1.0,"Berlin, Berlin, Germany",Individual/Angel,Verena Pausder,,,,,,https://www.linkedin.com/in/verenapausder,,,v.pausder@btov.vc,,,,Germany,
Michael Schmitt,2.0,,"Berlin, Berlin, Germany",Individual/Angel,"Michael studied Computer Science at TU Munich and UC Santa Barbara. The dot-com bubble caused him not to finish his Ph.D., but he has come t...",,,,,,https://www.linkedin.com/in/michaelschmitt1024/,,,michael@parrysoundmike.com,,,,Germany,
Global Chance Fund,2.0,,"Landshut, Bayern, Germany",Venture Capital,The Global Fund chance in promising innovative enterprises - and get the chance of above-average returns at above-average risk.,https://global-chance-fund.de/,global-chance-fund.de,,,,,,,info@global-chance-fund.de,+49 (0) 871 205 409 30,,,Germany,
Kazim Bahar,2.0,,"Frankfurt, Hessen, Germany",Individual/Angel,"Kazim is an entrepreneur and CEO. Previously, he has more than 25 years of experience and has worked as senior solution architect in numerou...",http://www.devtrend.de,devtrend.de,,,,https://www.linkedin.com/in/kazimbahar/,https://twitter.com/developa,,kazim.bahar@devtrend.de,,,,Germany,
BayTech Venture Capital,28.0,9.0,"Munich, Bayern, Germany",Venture Capital,BayTech Venture Capital is a European Venture Capital firm.,http://www.baytechventurecapital.de,baytechventurecapital.de,,,,,,,munich@baytechventure.com,+49-(0)89-287 009-0,"Mobile, Venture Capital, Wireless",,Germany,
Peter Dietrich,2.0,,"Berlin, Berlin, Germany",Individual/Angel,The lawyer Peter Dietrich worked as a headhunter at Kienbaum and Heidrick & Struggles before he became Sales Director for Enterprise Finance...,,,,,,,,,peter@peterdietrich.tv,,,,Germany,
Holtzbrinck Digital,27.0,3.0,"Munich, Bayern, Germany",Corporate Venture Capital,"Holtzbrinck Digital investment focus is on digital businesses in the fields of Science, Education, Content and Health.",https://www.holtzbrinck-digital.com/,holtzbrinck-digital.com,,,,https://www.linkedin.com/company/holtzbrinck-digital-gmbh/about/,,,stefanie.salomon@holtzbrinck.com,+49 (0)711-2150 228,"Content, Education, Health Care",,Germany,
Christian Reitberger,2.0,,"Munich, Bayern, Germany","Investment Partner, Individual/Angel",Christian Reitberger has worked with btov since 2008 вАУ initially as a Member of the Investorenkreis and a lead investor on numerous deep tec...,,,,,,http://www.linkedin.com/in/christianreitberger,,,christian.reitberger@btov.vc,,,,Germany,
Sympasis Innovation Capital,2.0,,"Ettlingen, Baden-Wurttemberg, Germany",Angel Group,Sympasis Innovation Capital was a venture capital firm that preferred to invest in companies.,http://www.sympasis.com,sympasis.com,,,,,,,info@sympasis.com,,,,Germany,
Oliver Hehl,2.0,,"Walldorf, Baden-Wurttemberg, Germany",Individual/Angel,Oliver Hehl,https://ahanya.vc,ahanya.vc,,,,https://www.linkedin.com/in/oliver-hehl/,,,oliver.hehl@ahanya.vc,,,,Germany,
Allianz X,26.0,4.0,"Munich, Bayern, Germany",Corporate Venture Capital,Allianz X is the digital investment unit of the Allianz Group that invests in digital growth companies related to insurance.,https://www.allianzx.com/,allianzx.com,,,,https://www.linkedin.com/company/allianzx,,,allianzx@allianz.com,8976996340,"Banking, Information Technology, Venture Capital",,Germany,
Yabeo Capital,25.0,1.0,"Grünwald, Bayern, Germany",Venture Capital,Yabeo Capital focuses on financial purposes and internet related business.,http://yabeo.de/en/home/,yabeo.de,,,,https://www.linkedin.com/company/yabeo/,,,info@yabeo.de,+49 89/69804221,Venture Capital,,Germany,
Holger Hengstler,2.0,1.0,"Munich, Bayern, Germany",Individual/Angel,Holger Hengstler - Member of the Board @ Wine in Black,,,,,,https://de.linkedin.com/in/holger-hengstler-675a9658/en,,,holger@btov.vc,,,,Germany,
Sven Kirkerup,2.0,,"Hamburg, Hamburg, Germany",Individual/Angel,Sven Kirkerup - Investor @ Labstep,,,,,,https://www.linkedin.com/in/svenkirkerup/,,,sven@kirkerup.com,,,,Germany,
Life Science Fonds Esslingen,2.0,,"Esslingen, Baden-Wurttemberg, Germany",Venture Capital,Life Science Fonds Esslingen was an investment firm in the healthcare and life science sectors.,"http://www.esslingen.de/,Lde/start/es_themen/Life+Science+Fonds.html",esslingen.de,,,,,,,kommunikation@esslingen.de,,,,Germany,
Golden Equator Ventures,14.0,4.0,"Singapore, Central Region, Singapore",Venture Capital,Golden Equator Ventures is a Singapore-based venture capital firm that invests in high-growth technology companies in Southeast Asia.,,,,,,https://www.linkedin.com/company/golden-equator-ventures/,,,vc@goldenequator.com,6568878124,"Financial Services, Venture Capital",,Singapore,
Red Dot Ventures,14.0,1.0,"Singapore, Central Region, Singapore","Micro VC, Venture Capital","Red Dot Ventures is a venture capital firm investing in Singapore-based, seed stage high-tech startups.",http://www.reddotventures.com,reddotventures.com,,,,https://www.linkedin.com/company/red-dot-ventures-pte-ltd?report%2Esuccess=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,,,charlie@reddotventures.com,6566352227,"Finance, Incubators, Venture Capital",,Singapore,
Atlas Ventures,14.0,1.0,"Singapore, Central Region, Singapore",Venture Capital,Atlas Ventures is an early stage VC fund,https://atlas.ventures/,atlas.ventures,,,,https://www.linkedin.com/company/atlas-ventures,https://twitter.com/AtlasVC,,contact@atlas.ventures,,,,Singapore,
Innosight Ventures,14.0,4.0,"Singapore, Central Region, Singapore",Venture Capital,Innosight Ventures leverages more than 20 years of applied research by innovation thought leaders like Clayton Christensen and field work,http://www.innosightventures.com,innosightventures.com,,,,,,,info-sg@innosight.com,+65 6884-9375,"E-Commerce, Financial Services, Venture Capital",,Singapore,
United Overseas Bank,13.0,4.0,"Singapore, Central Region, Singapore",Venture Debt,United Overseas Bank is a bank in China that caters to SMEs with financial services.,http://www.uobgroup.com/,uobgroup.com,,,,https://www.linkedin.com/company/uob/,,,customer.service@uobgroup.com,,"Banking, Finance, Financial Services",,Singapore,
Capikris Foundation,13.0,,"Singapore, Central Region, Singapore","Angel Group, Family Investment Office","Experienced Investor in seed, pre-series A, series A and follow on stages; global, scalable and relevant technologies",,,,,,,,,capikrisfoundation@gmail.com,,"Analytics, Angel Investment, Impact Investing, Internet, Medical, Quantum Computing",,Singapore,
TRIVE,13.0,,"Singapore, Central Region, Singapore",Micro VC,TRIVE is a venture capital firm that invest in technology startups.,https://www.trive.vc/,trive.vc,,https://www.facebook.com/TRIVE.VC/,,https://www.linkedin.com/company/trivevc/,,,enquiries@trive.vc,6567782294,"Analytics, Artificial Intelligence, Business Intelligence, Internet, Machine Learning, Venture Capital",,Singapore,
Get2Volume,13.0,1.0,"Singapore, Central Region, Singapore",Venture Capital,"Capabilities, capital and connections for Midwest and Singapore B2B technology companies",http://www.get2volume.com,get2volume.com,,,,https://www.linkedin.com/company/get2volume/about/,,,info@get2volume.com,,"Financial Services, FinTech, Venture Capital",,Singapore,
Azione Capital Pte Ltd,13.0,,"Singapore, Central Region, Singapore",Venture Capital,Azione Capital Pte Ltd is a seed stage venture capital investment company with its startup business incubator physically headquartered in,https://azionecapital.com/,azionecapital.com,,,,https://www.linkedin.com/company/azione-capital-pte-ltd,,,startup@azionecapital.com,,"Financial Services, FinTech, Venture Capital",,Singapore,
OCBC Bank of Singapore,12.0,6.0,"Singapore, Central Region, Singapore",Private Equity Firm,"OCBC Bank of Singapore provides its clients with various financial services, ranging from transaction banking to stockbroking services.",https://www.ocbc.com/group/gateway,ocbc.com,,https://www.facebook.com/ocbcbank,,https://www.linkedin.com/company-beta/165277/,https://www.twitter.com/ocbcbank,,ContactUs@ocbc.com,,"Banking, Financial Services",,Singapore,
IncuVest,12.0,1.0,"Singapore, Central Region, Singapore","Angel Group, Venture Capital",IncuVest is a Singapore-based early and growth-stage tech investment platform,https://www.incuvestasia.com/,incuvestasia.com,,,,http://www.linkedin.com/company/incuvest-pte-ltd,,,ron@incuvestasia.com,6564932468,"Advanced Materials, Artificial Intelligence, Augmented Reality, Internet of Things, Machine Learning, Medical Device, Semiconductor, Venture Capital",,Singapore,
Pix Vine Capital,12.0,2.0,"Singapore, Central Region, Singapore",Corporate Venture Capital,"Pix Vine Capital is a Singaporean early-stage venture capital firm that seeks to invest in infotech, medtech, and fintech.",https://www.pixvc.com/,pixvc.com,,,,https://www.linkedin.com/company/pix-vine-capital/,https://twitter.com/PixVC,,contact@pixvc.com,6565594640,"Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital",,Singapore,
Expara Thailand,12.0,1.0,"Singapore, Central Region, Singapore",Venture Capital,Expara Thailand is a venture capital providing both investment and services to the enterprise ecosystem.,https://www.expara.com/,expara.com,,https://www.facebook.com/groups/CLASExparaAccelerator,https://www.instagram.com/exparavc/,,https://twitter.com/ExparaAsia,,exparathaifund@expara.com,,"Financial Services, FinTech, Government, Venture Capital",,Singapore,
Iterative,11.0,,"Singapore, Central Region, Singapore","Accelerator, Venture Capital",Iterative is an accelerator focused exclusively on Southeast Asia.,https://iterative.vc/,iterative.vc,,,,https://linkedin.com/in/iterative-capital,,,hello@iterative.vc,,,,Singapore,
500 Durians,11.0,,"Singapore, Central Region, Singapore",Venture Capital,"500 Durians is a venture capital firm that helps entrepreneur create successful companies at scale, and build thriving global ecosystems. ",https://durians.500.co/,durians.500.co,,,,https://www.linkedin.com/company/500-durians/,,,durians@500startups.com,,"Finance, Financial Services, FinTech, Venture Capital",,Singapore,
Govin Capital Pte Ltd,11.0,1.0,"Singapore, Central Region, Singapore",Venture Capital,Govin capital is an venture company that aims to add value to innovative Startups by mking investments with access to mentors & markets,http://www.govincapital.com/,govincapital.com,,,,http://linkedin.com/in/anand-govindaluri-60047,,,anand@govincapital.com,6566595946,"Artificial Intelligence, Biotechnology, Education, Health Care, Health Diagnostics, Health Insurance, Information Technology, Medical, Venture Capital",,Singapore,
"Rakuten Accelerator, Powered by Techstars",10.0,1.0,"Singapore, Central Region, Singapore",Accelerator,"Rakuten Accelerator, Powered by Techstars is a mentorship-driven accelerator.",https://www.techstars.com/,techstars.com,,https://www.facebook.com/techstars,https://www.instagram.com/techstars/,,https://twitter.com/techstars,,press@techstars.com,,"Business Development, Financial Services, Messaging, Social Network",,Singapore,
HH Investments VC,9.0,,"Singapore, Central Region, Singapore","Family Investment Office, Venture Capital",Venture Capital firm with focus on early stage technology ventures that solve meaningful problems.,,,,,,https://www.linkedin.com/company/hh-investments-vc,,,info@hhinvestments.vc,,,,Singapore,
Tembusu Partners,9.0,1.0,"Singapore, Central Region, Singapore",Private Equity Firm,Tembusu Partners is a Singapore-based private equity firm focused on investments in growth stage companies.,http://www.tembusupartners.com/en/index.php,tembusupartners.com,,,,https://www.linkedin.com/company/tembusu-partners/,,,enquiry@tembusupartners.com,,"Finance, Financial Services, Impact Investing",,Singapore,
LVP,63.0,10.0,"London, England, United Kingdom",Micro VC,London Venture Partners is a seed fund that focuses on the game ecosystem.,https://londonvp.com/,londonvp.com,,https://www.facebook.com/LondonVP/,,http://www.linkedin.com/company/london-venture-partners,,,info@londonvp.com,,"Augmented Reality, Gaming, Information Technology, Venture Capital, Virtual Reality",,United Kingdom,
Bridges Fund Management,63.0,10.0,"London, England, United Kingdom",Private Equity Firm,Bridges Fund Management is a specialist fund manager dedicated to sustainable and impact investment.,https://www.bridgesfundmanagement.com/,bridgesfundmanagement.com,,,,https://www.linkedin.com/company/bridgesfundmanagement/,https://twitter.com/bridgesfundmgmt,,info@bridgesfundmanagement.com,+44 (0) 20 3780 8000,"Finance, Financial Services, Venture Capital",,United Kingdom,
European Bank for Reconstruction and Development,60.0,11.0,"London, England, United Kingdom","Government Office, Investment Bank",European Bank for Reconstruction and Development is an investing firm.,https://www.ebrd.com/home,ebrd.com,,http://www.facebook.com/ebrdhq,https://www.instagram.com/ebrd_official/,https://www.linkedin.com/company/ebrd,http://www.twitter.com/ebrd,,info@ebrd.com,+44 20 7338 6000,"Banking, Finance, Venture Capital",,United Kingdom,
PROfounders Capital,55.0,14.0,"London, England, United Kingdom",Micro VC,PROfounders Capital is an early-stage VC backed by successful entrepreneurs and focused on investing in technology start-ups across Europe.,https://www.profounderscapital.com/,profounderscapital.com,,,,https://www.linkedin.com/company/profounders-capital/,https://twitter.com/profounders?lang=en,,contact@profounderscapital.com,44 20 7766 6900,"Finance, Venture Capital",,United Kingdom,
European Union,54.0,3.0,"London, England, United Kingdom",Government Office,"European Union provides access to information published by all EU institutions, agencies and bodies.",http://europa.eu,europa.eu,,,,https://www.linkedin.com/company/european-union,,,face4eu@gmail.com,00 800 6 7 8 9 10 11,"Education, Government, Information Services",,United Kingdom,
Vitruvian Partners,50.0,14.0,"London, England, United Kingdom",Private Equity Firm,"Vitruvian Partners is an equity firm that specializes in middle-market buyouts, growth buyouts, and growth capital investments.",http://www.vitruvianpartners.com,vitruvianpartners.com,,,,https://www.linkedin.com/company/vitruvian-partners-llp,,,contact@vitruvianpartners.com,+44 (0) 20 7518 2800,"Finance, Financial Services, Venture Capital",,United Kingdom,
